radius,electron_density_mol_cm3
0.0005,100.92528860766845
0.001,100.92528860766845
0.0015,100.92528860766845
0.002,100.92528860766845
0.0025,100.92528860766845
0.003,100.92528860766845
0.0035,100.92528860766845
0.004,100.92528860766845
0.0045,100.92528860766845
0.005,100.92528860766845
0.0055,100.69316688518045
0.006,100.69316688518045
0.0065,100.69316688518045
0.007,100.69316688518045
0.0075,100.69316688518045
0.008,100.69316688518045
0.0085,100.69316688518045
0.009,100.46157902783946
0.0095,100.46157902783946
0.01,100.46157902783946
0.0105,100.46157902783946
0.011,100.23052380778994
0.0115,100.23052380778994
0.012,100.23052380778994
0.0125,100.23052380778994
0.013,100.0
0.0135,100.0
0.014,100.0
0.0145,99.77000638225536
0.015,99.77000638225536
0.0155,99.77000638225536
0.016,99.5405417351527
0.0165,99.5405417351527
0.017,99.5405417351527
0.0175,99.3116048420934
0.018,99.3116048420934
0.0185,99.08319448927676
0.019,99.08319448927676
0.0195,99.08319448927676
0.02,98.8553094656939
0.0205,98.8553094656939
0.021,98.62794856312105
0.0215,98.62794856312105
0.022,98.4011105761134
0.0225,98.4011105761134
0.023,98.17479430199843
0.0235,98.17479430199843
0.024,97.94899854086991
0.0245,97.94899854086991
0.025,97.72372209558107
0.0255,97.72372209558107
0.026,97.49896377173872
0.0265,97.2747223776965
0.027,97.2747223776965
0.0275,97.05099672454898
0.028,97.05099672454898
0.0285,96.8277856261249
0.029,96.60508789898135
0.0295,96.60508789898135
0.03,96.38290236239705
0.0305,96.38290236239705
0.031,96.16122783836649
0.0315,95.94006315159331
0.032,95.94006315159331
0.0325,95.71940712948447
0.033,95.49925860214358
0.0335,95.2796164023652
0.034,95.2796164023652
0.0345,95.06047936562814
0.035,94.84184633008974
0.0355,94.6237161365793
0.036,94.6237161365793
0.0365,94.40608762859236
0.037,94.18895965228413
0.0375,93.9723310564638
0.038,93.9723310564638
0.0385,93.75620069258802
0.039,93.5405674147552
0.0395,93.3254300796991
0.04,93.11078754678306
0.0405,93.11078754678306
0.041,92.89663867799364
0.0415,92.68298233793494
0.042,92.46981739382225
0.0425,92.25714271547633
0.043,92.04495717531712
0.0435,91.83325964835811
0.044,91.62204901219997
0.0445,91.62204901219997
0.045,91.41132414702504
0.0455,91.20108393559097
0.046,90.99132726322517
0.0465,90.78205301781857
0.047,90.57326008982002
0.0475,90.36494737223013
0.048,90.1571137605957
0.0485,89.94975815300351
0.049,89.74287945007487
0.0495,89.53647655495938
0.05,89.33054837332953
0.0505,89.12509381337455
0.051,88.92011178579486
0.0515,88.71560120379608
0.052,88.51156098308356
0.0525,88.30799004185627
0.053,88.10488730080142
0.0535,87.90225168308842
0.054,87.70008211436348
0.0545,87.4983775227436
0.055,87.29713683881117
0.0555,87.09635899560806
0.056,86.8960429286302
0.0565,86.69618757582165
0.057,86.49679187756934
0.0575,86.29785477669702
0.058,86.09937521846008
0.0585,85.70378452303697
0.059,85.50667128846833
0.0595,85.31001140175896
0.06,85.11380382023764
0.0605,84.91804750363139
0.061,84.72274141405963
0.0615,84.52788451602899
0.062,84.33347577642752
0.0625,83.94599865193973
0.063,83.75292821268826
0.0635,83.56030182312479
